rank,handle,objective_key,objective_canonical,objective_tier,supplement_pdf,size_class,cohort,status,active_roster,oof_covered_videos,graded_total,graded_n_in_window,window_start,window_end,k,calls_C,hits_H,top_avg_x,bottom_avg_x,ratio_R,hero_form,send_check_verdict,within_creator_spearman,exclusion,p2_public,p2_last_post,p2_last_post_age_d,p2_post_corpus_aged_30_100,p2_post_corpus_lt30,p2_cost_to_n12,p2_cost_fill_to_40,p2_fill_shortfall,p2_dormant,p2_drop_reason
177,hopecornerfarm,educational,Educational/How-To,PROVISIONAL,yes,small,cohort_4,enrolled,False,20,20,20,2026-04-21,2026-05-19,4,8,3,1.092,1.236,0.883,neutral,DO NOT SEND,0.0075,,,,,,,,,,,
178,_dylanshannon,fitness,Fitness/Wellness,PREDICT,yes,small,cohort_2,inactive,False,20,20,20,2026-05-22,2026-06-01,4,8,3,0.937,1.036,0.905,neutral,DO NOT SEND,-0.0135,,,,,,,,,,,
179,yourbrainonmoney,educational,Educational/How-To,PROVISIONAL,yes,small,cohort_2,inactive,False,20,20,20,2026-05-12,2026-05-31,4,8,2,0.864,1.084,0.797,neutral,DO NOT SEND,-0.0256,,,,,,,,,,,
180,neatlydesigned,life_hacks,Life Hacks,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-04-08,2026-05-18,4,8,2,0.578,0.836,0.692,neutral,DO NOT SEND,-0.1233,,,,,,,,,,,
181,realmomcartours,automotive,Cars/Automotive,PREDICT,yes,small,cohort_4,enrolled,False,20,20,20,2026-04-23,2026-05-17,4,8,3,0.906,1.007,0.9,neutral,DO NOT SEND,-0.212,,,,,,,,,,,
182,chrisncars01,automotive,Cars/Automotive,PREDICT,yes,mid,cohort_4,enrolled,False,20,20,20,2026-04-22,2026-05-13,4,8,3,0.881,1.442,0.611,neutral,DO NOT SEND,-0.2361,,,,,,,,,,,
183,moidawgtv,gaming,Gaming,PROVISIONAL,yes,small,cohort_2,inactive,False,20,20,20,2026-05-18,2026-05-31,4,8,2,0.963,1.536,0.627,neutral,DO NOT SEND,-0.3188,,,,,,,,,,,
184,hannahreneex23,aesthetic,Aesthetic/Vibes,PREDICT,yes,small,cohort_3,enrolled,False,16,16,16,2026-05-28,2026-06-05,4,8,3,1.036,1.103,0.94,neutral,DO NOT SEND,-0.1941,,,,,,,,,,,
185,racinpayton,automotive,Cars/Automotive,PREDICT,yes,mid,cohort_2,inactive,False,15,15,15,2026-05-07,2026-06-05,4,8,3,1.032,1.033,1.0,neutral,DO NOT SEND,0.1286,,,,,,,,,,,
186,co_op64,gaming,Gaming,PROVISIONAL,yes,mid,cohort_4,enrolled,False,14,14,14,2026-06-03,2026-06-07,4,8,1,0.83,1.273,0.652,neutral,DO NOT SEND,-0.4374,,,,,,,,,,,
187,grifjames,comedy,Funny Videos/Comedy,PREDICT,yes,small,cohort_2,active,True,13,13,13,2026-04-06,2026-06-07,4,8,2,1.296,1.743,0.744,neutral,DO NOT SEND,-0.0934,,,,,,,,,,,
188,artemiscollective,fun_facts,Fun Facts,PREDICT,yes,small,cohort_2,inactive,False,13,13,13,2026-04-12,2026-05-31,4,8,2,1.027,1.304,0.787,neutral,DO NOT SEND,-0.2473,,,,,,,,,,,
189,leeleetapdaily,asmr,ASMR,PREDICT,yes,mid,cohort_2,active,True,13,13,13,2026-04-08,2026-06-05,4,8,3,0.977,1.261,0.775,neutral,DO NOT SEND,-0.4725,,,,,,,,,,,
190,berti.brownn,storytelling,Storytelling,PREDICT,yes,small,cohort_3,enrolled,False,8,8,8,2026-05-20,2026-06-03,2,4,1,1.025,1.653,0.62,neutral,DO NOT SEND,-0.0714,,,,,,,,,,,
191,xanderkerber,comedy,Funny Videos/Comedy,PREDICT,yes,mid,cohort_1,active,True,5,5,5,2026-05-05,2026-06-03,0,0,,,,,pending,N/A,0.8,,,,,,,,,,,
192,econwithsarah,educational,Educational/How-To,PROVISIONAL,yes,mid,cohort_2,inactive,False,5,5,5,2026-05-08,2026-06-03,0,0,,,,,pending,N/A,-0.3,,,,,,,,,,,
,thecolorfulpantry,food,Food & Drinks/Cooking,PREDICT,yes,small,cohort_2,active,True,10,10,10,2026-04-07,2026-06-02,3,6,4,1.617,0.776,2.083,averages,STRONG,0.5636,prospect-ingested,,,,,,,,,,
,jamieegabrielle,aesthetic,Aesthetic/Vibes,PREDICT,yes,small,cohort_2,active,True,13,13,13,2026-04-06,2026-06-02,4,8,8,1.584,0.578,2.741,averages,STRONG,0.8077,docs-rendered,,,,,,,,,,
,bellecampbell_,dancing,Dancing,ABSTAIN,overall-only,mid,cohort_2,inactive,False,17,17,17,2026-05-02,2026-06-01,4,8,4,1.293,1.231,1.051,averages,MIXED,-0.098,dancing,,,,,,,,,,
,dre_da_dancer2.0,dancing,Dancing,ABSTAIN,overall-only,mid,cohort_2,inactive,False,20,20,20,2026-05-02,2026-06-05,4,8,2,1.077,1.059,1.017,averages,MIXED,-0.2617,dancing,,,,,,,,,,
,katiamoves,dancing,Dancing,ABSTAIN,overall-only,small,cohort_2,inactive,False,20,20,20,2026-05-17,2026-05-28,4,8,4,1.072,0.916,1.169,averages,MIXED,-0.0917,dancing,,,,,,,,,,
,reese_hatala,dancing,Dancing,ABSTAIN,overall-only,mid,cohort_2,inactive,False,20,20,20,2026-05-17,2026-05-30,4,8,5,1.347,0.921,1.463,averages,MIXED,0.2962,dancing,,,,,,,,,,
,stephaniemiec,dancing,Dancing,ABSTAIN,overall-only,mid,cohort_2,inactive,False,20,20,20,2026-05-24,2026-05-31,4,8,3,0.896,1.186,0.756,neutral,DO NOT SEND,-0.3068,dancing,,,,,,,,,,
